name,brand,deal_price,regular_price,product_highlights,avg_overall_rating,amount_of_ratings
"Samsung 50"" Smart 4K UHD TV (UN50AU8000) - Black",Samsung,$429.99,$569.99,"[""Dynamic Crystal Color - Witness true-to-life color that can't be found on HDTV, with millions of shades revealed through powerful Dynamic Crystal technology."", ""Crystal Processor 4K - See every detail with stunning clarity. The powerful processor, specifically tuned for Crystal Displays, converts what you're watching to 4K."", 'Smart TV with Multiple Voice Assistants - Access a world of content beyond streaming. Schedule recordings, search, auto-adjust game settings, seamlessly connect with a host of compatible devices across your home, and control your TV with your voice, all with one easy-to-use remote.', '3 HDMI Ports - Connect up to 3 devices with HDMI.', 'HDR - Enjoy a whole new world of vivid color and detail found in newer films and streaming service content with HDR, also known as High Dynamic Range.', ""Motion Xcelerator - Never miss a beat with minimized blur and enhanced motion clarity, and catch all the fast-moving action whether you're watching sports or taking advantage of newer gaming capabilities.""]",4.6,1839
"Samsung 60"" Smart 4K Crystal HDR UHD TV TU7000 Series - Titan Gray (UN60TU7000)",Samsung,$499.99,$599.99,"['Crystal Processor 4K - This ultra-fast processor transforms everything you watch into stunning 4K.', 'Smart TV Powered by Tizen - Go beyond Smart TV with next-gen apps, super-easy control and a host of enhancements that elevate the TV-watching experience.', ""HDR - unveils shaded of color you can't find on HDTV."", 'Crystal Display - Experience crystal-clear colors that are fine-tuned to deliver a naturally crisp and vivid picture.', 'Universal Guide - One simple on-screen guide organizes your streaming and live TV content, while also making recommendations.', 'Game Enhancer - The TV automatically adjusts settings to help games run smoothly.']",4.5,7701
"LG 55"" NanoCell 4K UHD Smart LED HDR TV - 55NANO75",LG Electronics,$499.99,$699.99,"['Real 4K NanoCell Display', 'Quad Core Processor 4K', 'Built-in acess to Netflix, Prime Video, Apple TV+, Disney+, LG Channels', 'Home Cinema Experience: Active HDR, HDR10, Filmmaker Mode', 'Ultimate Gameplay: Game Optimizer, ALLM, eARC, HGiG', 'webOS + LG ThinQ AI w/ Magic Remote']",4.7,559
"LG 43"" Class 4K UHD Smart LED TV - 43UQ7590PUB",LG Electronics,$299.99,$329.99,"['Real 4K Display w/ 4K UHD Resolution', 'a5 Gen 5 AI Processor 4K: 4K Upscaling & AI Sound', 'Active HDR (HDR10, HLG), Dynamic Tone Mapping, FILMMAKER MODE', 'webOS 22: Netflix, Prime Video, the Apple TV app, Disney+, HBO Max & more', 'LG Channels: Free access to programming on over 300+ LG Channels', 'Game Optimizer, HGIG & ALLM']",5,1
"Westinghouse 43"" 4K Ultra HD Roku Smart TV with HDR",Westinghouse,$249.99,$349.99,"['43” 4K UHD Roku TV with HDR10', 'Dolby Audio', '3 HDMI (1 ARC), 1 USB', 'Built-In Wi-Fi', 'Access Top Streaming & International Channels', 'Compatible with your Amazon Alexa, Apple AirPlay2, or Google Assistant-enabled devices.']",3.4,147
"Samsung 32"" Smart HD LED TV - Black (UN32M4500)",Samsung,$199.99,$219.99,"['Comes with WI-FI', 'Features a built-in web browser', 'HD 720P video quality', 'Screen refresh rate of 60HZ', 'Get ready to change your television watching experience with this smart\n tv']",4.2,574
"LG 55"" Class 4K UHD Smart OLED HDR TV - OLED55A1",LG Electronics,$949.99,"$1,399.99","['Self-lighting OLED: Perfect Black, Intense Color, Infinite Contrast', 'α7 GEN4 AI Processor w/ AI Picture & Sound', 'Dolby Vision IQ & Dolby Atmos', 'webOS + LG ThinQ AI w/ Magic Remote', 'Gaming: ALLM, HGIG, Game Optimizer']",4.8,305
"Hisense 55"" Class- A6G Series 4K UHD Android Smart TV - 55A6G",Hisense,$309.99,$429.99,"['4K Ultra HD', '1080p’s bigger, better looking brother. It has four times the resolution of a regular Full HD screen, along with 8.3 million pixels and a full array LED backlight creating a sharper, more colorful picture.', 'Dolby Vision™ HDR and HDR10', 'Cinema technology for your home. We’re talking more detail in the shadows, visibly clearer highlights and dramatically more vibrant colors. So good, it’s a Dolby Laboratories certified HDR product.', 'Android TV', 'Customize your Android TV home screen to display your favorite apps, shows, and movies. Cue the latest episode, pick up where you left off, or jump to a new show on your go-to app in no time.']",4,41
"LG 48"" Class 4K UHD Smart OLED HDR TV - OLED48C1",LG Electronics,$799.99,"$1,299.99","['OLED Display: self-lighting pixels, perfect black, infinite contrast, intense color, billion rich colors', 'α9 Gen 4 AI Processor: AI Picture Pro & AI Sound Pro', 'Dolby Vision IQ and Dolby Atmos', 'webOS + ThinQ AI w/ Magic Remote', 'Ultimate Gameplay: Game Optimizer, VRR, ALLM, eARC, HGiG, NVIDIA G-SYNC, FreeSync', 'HDMI 2.1 (all ports)""']",4.8,3877
"Hisense 50"" Class- A6G Series 4K UHD Android Smart TV - 50A6G",Hisense,$289.99,$389.99,"['4K Ultra HD', '1080p’s bigger, better looking brother. It has four times the resolution of a regular Full HD screen, along with 8.3 million pixels and a full array LED backlight creating a sharper, more colorful picture.', 'Dolby Vision™ HDR and HDR10', 'Cinema technology for your home. We’re talking more detail in the shadows, visibly clearer highlights and dramatically more vibrant colors. So good, it’s a Dolby Laboratories certified HDR product.', 'Android TV', 'Customize your Android TV home screen to display your favorite apps, shows, and movies. Cue the latest episode, pick up where you left off, or jump to a new show on your go-to app in no time.']",4.6,34
"Samsung 85"" 4K UHD Smart TV - Titan Gray (UN85TU7000)",Samsung,"$1,399.99","$1,499.99","['Crystal Processor 4K - This ultra-fast processor transforms everything you watch into stunning 4K.', 'Smart TV Powered by Tizen - Go beyond Smart TV with next-gen apps, super-easy control and a host of enhancements that elevate the TV-watching experience.', ""HDR - unveils shaded of color you can't find on HDTV."", 'Crystal Display - Experience crystal-clear colors that are fine-tuned to deliver a naturally crisp and vivid picture.', 'Universal Guide - One simple on-screen guide organizes your streaming and live TV content, while also making recommendations.', 'Game Enhancer - The TV automatically adjusts settings to help games run smoothly.']",4.5,7658
"LG 77"" Class 4K UHD Smart OLED TV - OLED77C2PUA",LG Electronics,"$3,299.99","$3,499.99","['OLED evo', 'Α9Gen5 AIProcessor 4K: AI Picture Pro & AI Sound Pro', 'Cinema HDR (Dolby Vision, HDR10, HLG), Dynamic Tone Mapping Pro', 'Home Cinema: Dolby Vision IQ, Dolby Atmos and FILMMAKER MODE', 'WebOS 22 w/ Magic Remote', 'LG Channels: Free access to programming on over 300+ LG Channels']",5,39
"TCL 75"" Class 4-Series 4K UHD HDR Smart Roku TV – 75S435",TCL,$699.99,$999.99,"['Stunning 4K Ultra HD – 4K resolution delivers stunning detail and a remarkable visual experience.', 'High Dynamic Range – HDR delivers bright and accurate colors for a lifelike viewing experience.', 'Thousands of streaming channels – Enjoy the over 500,000 movies and TV episodes available to stream plus sports, news, music, kids and family, food, science and tech, fitness, foreign language and so much more.', 'Easy Voice Control – Find movie titles, launch or change channels, even switch inputs, using just your voice. Access to voice control feature available through the Roku mobile app, compatible third-party voice assistant devices and voice-enabled remote controls that can be purchased separately. Works with Amazon Alexa and Google Assistant.', 'Simple, personalized home screen – Your favorite broadcast TV, streaming channels, gaming console and other devices are front-and-center. No more flipping through inputs or wading through complicated menus. Like apps on a smartphone, all your favorites are at your fingertips from the instant you turn it on.', 'Cord cutting made easy with smart features built-in – Cord cutters can access free, over-the-air HD content thanks to the Advanced digital TV Tuner with Live TV Channel Guide or watch live TV from popular cable-replacement services like YouTube TV, Sling, Hulu and more.']",2.5,28
"LG 70"" Class 4K UHD Smart LED TV - 70UQ7590PUB",LG Electronics,$629.99,$679.99,"['Real 4K Display w/ 4K UHD Resolution', 'a5 Gen 5 AI Processor 4K: 4K Upscaling & AI Sound', 'Active HDR (HDR10, HLG), Dynamic Tone Mapping, FILMMAKER MODE', 'webOS 22: Netflix, Prime Video, the Apple TV app, Disney+, HBO Max & more', 'LG Channels: Free access to programming on over 300+ LG Channels', 'Game Optimizer, HGIG & ALLM']",,
"Westinghouse 43"" FHD Roku Smart TV - Black",Westinghouse,$279.99,$329.99,"['43"" FHD  Roku TV', 'Dolby Audio', '3 HDMI 1.4 (1 ARC), 2 USB', 'Built-In Wi-Fi', 'Access Top Streaming & International Channels', 'Compatible with your Apple AirPlay, Apple HomeKit, Amazon Alexa, and Google Assistant-enabled devices.']",3.8,37
"LG 86"" Class 4K UHD Smart LED TV - 86UQ7590PUD",LG ElectronicsNew at target¬,"$1,399.99","$1,799.99","['Real 4K Display w/ 4K UHD Resolution', 'a5 Gen 5 AI Processor 4K: 4K Upscaling & AI Sound', 'Active HDR (HDR10, HLG), Dynamic Tone Mapping, FILMMAKER MODE', 'webOS 22: Netflix, Prime Video, the Apple TV app, Disney+, HBO Max & more', 'LG Channels: Free access to programming on over 300+ LG Channels', 'Game Optimizer, HGIG & ALLM']",,
"Samsung 40"" Smart FHD LED TV - Black (UN40N5200)",Samsung,$279.99,$299.99,"['Full HD 1080p Resolution - 2x the clarity. Bring all your favorite TV shows, movies, games and media content to life in vivid, vibrant Full HD 1080p with twice the resolution of standard HD TV.', 'PurColor - Get a more colorful viewing experience. Watch your favorite TV shows with natural colors that deliver details as crisp as the real thing.', 'Micro Dimming Pro - Experience shadow detail and color. Dividing the screen into zones, Micro Dimming Pro analyzes each one for deeper blacks and purer whites.', 'Samsung Smart TV - An intelligent way to enjoy your content. Get to your entertainment the faster, easier, and more intelligent way. Easily access your streaming services all in one place using the Samsung Remote Control.', 'SmartThings App Support - One app. All set to go. Have several smart devices to manage? No problem. Simply download SmartThings App on your smart phone to control your connected devices all in one screen!.', 'Content Sync & Share - Never miss a moment. Sync your TV to your compatible smartphone to access and control your content on the big screen.*Some features vary. Connection to the same Wi-Fi network required.']",3.7,189
"Samsung QN50Q80BA 50"" QLED 4K Smart TV (2022)",Samsung,$947.99,$999.99,"['Direct Full Array Backlighting', 'Quantum Processor with 4K Upscaling', 'Quantum HDR 12X', 'Dolby Atmos and Object Tracking Sound', 'Real Depth Enhancer']",4.8,59
"Hisense 65"" Class- A6G Series 4K UHD Android Smart TV - 65A6G",Hisense,$449.99,$539.99,"['4K Ultra HD', '1080p’s bigger, better looking brother. It has four times the resolution of a regular Full HD screen, along with 8.3 million pixels and a full array LED backlight creating a sharper, more colorful picture.', 'Dolby Vision™ HDR and HDR10', 'Cinema technology for your home. We’re talking more detail in the shadows, visibly clearer highlights and dramatically more vibrant colors. So good, it’s a Dolby Laboratories certified HDR product.', 'Android TV', 'Customize your Android TV home screen to display your favorite apps, shows, and movies. Cue the latest episode, pick up where you left off, or jump to a new show on your go-to app in no time.']",4.1,29
"Samsung 60"" Smart QLED 4K UHD TV - Titan Gray (QN60Q60B)",Samsung,$799.99,$899.99,"['100% Color Volume with Quantum Dot* - Bask in a billion shades of brilliant color at 100% Color Volume. Quantum Dot technology brings you a gorgeous picture by transforming light into vivid color that stays true for bold detail, even as the scene brightens. *QLED televisions can produce 100% Color Volume in the DCI P3 color space, the format for most cinema screens and HDR movies for television.', 'Quantum Processor Lite with 4K Upscaling - Everything on your screen is upgraded to 4K resolution by a smart, powerful processor. Turn on your TV and see your favorite shows and movies automatically transformed to 4K thanks to the smart and fast Quantum Processor 4K Lite.', 'Duel LED - Enjoy natural, real life colors with dedicated warm and cool Dual LED backlights. Whatever you watch, you’ll notice amazing color tones with backlighting that automatically adapts the contrast to match your content in real time.', 'Quantum HDR - Go beyond HDTV with Quantum HDR that delivers an expanded range of color and contrast. With an impressive spectrum that deepens blacks and brightens whites, you’ll finally see the details in the Hollywood movies and shows with HDR.', 'Smart TV with Multiple Voice Assistants - Just speak up your favorite Voice Assistant is ready to help. Voice Assistants are built into your Samsung TV. Simply use your voice to find the content you love, control your connected home and more.', 'Motion Xcelerator - Watch the fast action in your movies, sports and games get crisp and clear. You won’t miss a beat with Motion Xcelerator features that minimize the blur and improve the motion clarity of the high speed, high intensity content you love.']",4.8,140
"VIZIO 70"" Class M7 Series Premium 4K QLED HDR Smart TV with Dolby Vision, Voice Remote and Gaming Engine - M70Q7-J03",VIZIO,$699.99,"$1,099.99","['4K Ultra HD - Over 8 million pixels for breathtaking detail. 4 times the resolution of 1080p!', 'Active Full Array with up to 30 Local Dimming Zones - Intelligent adjustment of the active full array backlight to deliver deep black levels for stunning depth and contrast.', 'SmartCast -  Instant access to the best selection of apps from top-tier streaming services like Netflix, Disney+, YouTube, HBO Max, discovery+ and many more right out of the box.', 'Apple AirPlay 2 and Chromecast Built-In - Stream, control, mirror and share your content from your Apple or Android devices directly to the TV.', ""What's Included - VIZIO Voice Remote with batteries, Power Cable, Quick Start Guide and User Manual."", '4 HDMI 2.1 Ports - Offers the highest video performance for 4K entertainment devices, superior audio quality with eARC for high bit-rate audio pass-through for Dolby Atmos and DTS:X.']",4.5,441
"Samsung 50"" Smart QLED 4K UHD TV - Titan Gray (QN50Q60B)",Samsung,$599.99,$649.99,"['100% Color Volume with Quantum Dot* - Bask in a billion shades of brilliant color at 100% Color Volume. Quantum Dot technology brings you a gorgeous picture by transforming light into vivid color that stays true for bold detail, even as the scene brightens. *QLED televisions can produce 100% Color Volume in the DCI P3 color space, the format for most cinema screens and HDR movies for television.', 'Quantum Processor Lite with 4K Upscaling - Everything on your screen is upgraded to 4K resolution by a smart, powerful processor. Turn on your TV and see your favorite shows and movies automatically transformed to 4K thanks to the smart and fast Quantum Processor 4K Lite.', 'Duel LED - Enjoy natural, real life colors with dedicated warm and cool Dual LED backlights. Whatever you watch, you’ll notice amazing color tones with backlighting that automatically adapts the contrast to match your content in real time.', 'Quantum HDR - Go beyond HDTV with Quantum HDR that delivers an expanded range of color and contrast. With an impressive spectrum that deepens blacks and brightens whites, you’ll finally see the details in the Hollywood movies and shows with HDR.', 'Smart TV with Multiple Voice Assistants - Just speak up your favorite Voice Assistant is ready to help. Voice Assistants are built into your Samsung TV. Simply use your voice to find the content you love, control your connected home and more.', 'Motion Xcelerator - Watch the fast action in your movies, sports and games get crisp and clear. You won’t miss a beat with Motion Xcelerator features that minimize the blur and improve the motion clarity of the high speed, high intensity content you love.']",4.8,141
"Sony 55"" Class BRAVIA XR X90K Series 4K HDR Full Array LED TV with smart Google TV - XR55X90K",Sony,"$1,099.99","$1,299.99","['Intelligent TV processing – The Cognitive Processor XR understands how humans see to deliver intense contrast with deep blacks, high peak brightness, and natural colors.', 'Full Array LED contrast – Precisely controlled backlighting delivers deep black, high peak brightness and is further enhanced by XR Contrast Booster 10 for real-life depth and detail.', 'Perfect for PlayStation® 5 – Take your gaming to the next level with input lag as low as 8.5ms and BRAVIA XR exclusive features for the PlayStation 5 – Auto HDR Tone Mapping & Auto Genre Picture Switch.', 'Wide spectrum of colors - Rediscover everything you watch with billions of accurate colors and see impressive picture quality that is natural and beautiful, enhanced by XR Triluminos Pro.', 'Premium smart TV – Google TV with Google Assistant organizes your favorite content all in one place. Stream from Netflix, Disney+, Apple TV, HBO Max, Peacock and many more. Also, stream from your Apple device with AirPlay 2 support.', 'Movies included with BRAVIA CORE – Bring the cinematic experience home. Enjoy streaming included high-quality 4K UHD quality movies with the BRAVIA CORE app, exclusively on select Sony TVs.']",,
"LG 55"" Class 4K UHD Smart LED TV - 55UQ9000PUD",LG Electronics,$479.99,$499.99,"['Real 4K Display w/ 4K UHD Resolution', 'α5 Gen 5 AI Processor 4K: 4K upscaling & AI Sound Pro', 'Active HDR (HDR10, HLG), Dynamic Tone Mapping, FILMMAKER MODE', 'webOS 22 w/ Magic Remote', 'LG Channels: Free access to programming on over 300+ LG Channels', 'Game Optimizer & Dashboard UHD: ALLM, HGiG']",5,1
"VIZIO 58"" Class M7 Series 4K QLED HDR Smart TV - M58Q7-J01",VIZIO,$599.99,$769.99,"['4K Ultra HD - Over 8 million pixels for breathtaking detail. 4 times the resolution of 1080p!', 'Active Full Array with up to 27 Local Dimming Zones - Intelligent adjustment of the active full array backlight to deliver deep black levels for stunning depth and contrast.', 'SmartCast -  Instant access to the best selection of apps from top-tier streaming services like Netflix, Disney+, YouTube, HBO Max, discovery+ and many more right out of the box.', 'Apple AirPlay 2 and Chromecast Built-In - Stream, control, mirror and share your content from your Apple or Android devices directly to the TV.', ""What's Included - VIZIO Voice Remote with batteries, Power Cable, Quick Start Guide and User Manual."", '4 HDMI 2.1 Ports - Offers the highest video performance for 4K entertainment devices, superior audio quality with eARC for high bit-rate audio pass-through for Dolby Atmos and DTS:X.']",4.5,442
"Sony 55"" Class X80K Series 4K HDR LED with smart Google TV- KD55X80K",Sony,$699.99,$749.99,"['Intelligent TV processing – The 4K HDR Processor X1™ delivers a picture that is smooth and clear, full of rich colors and detailed contrast.', 'Wide spectrum of colors - Reproduces over a billion accurate colors resulting in picture quality that is natural and precise, and closer than ever to real life, enhanced by TRILUMINOS Pro™.', 'Premium smart TV – Google TV™ with Google Assistant organizes your favorite content all in one place.1 Stream from Netflix, Disney+, Apple TV, HBO Max, Peacock and many more. Also, stream from your Apple device with AirPlay 2 support.', 'Enhanced entertainment – Experience immersive and engaging cinematic content as the creator intended with support for Dolby Vision & Atmos.', 'Enhanced gaming picture quality – Enhance your gaming experience with exclusive features for the PlayStation® 5 to improve gaming picture quality.', 'Flush surface design – Your eyes naturally focus on the immersive big picture with a flush surface narrow bezel design.']",5,1
"Sony 65"" Class BRAVIA XR OLED 4K Ultra HD Smart Google TV with Dolby Vision HDR (XR65A90J)",Sony,"$2,798.00","$3,999.99","['COGNITIVE PROCESSOR XR™ – Revolutionary TV processing technology that understands how humans see and hear to deliver intense contrast with pure blacks, high peak brightness, and natural colors.', 'XR TRILUMINOS PRO™ - Rediscover everything you watch with billions of accurate colors and see impressive picture quality that is natural and beautiful to the human eye.', 'XR OLED CONTRAST PRO – Feel immersive depth and realism with ultimate blacks and our brightest-ever OLED picture.', 'GOOGLE TV™ – See 700,000+ movies and TV episodes, plus live TV, all in one place. Google TV brings your favorite content from across your apps and subscriptions and organizes them just for you. Watch content from Netflix, Amazon Prime Video, Disney+, YouTube, the Apple TV app, and many more.', 'BRAVIA CORE™ – Bring the cinematic experience home. Enjoy streaming high-quality movies included with BRAVIA CORE™, exclusively on select Sony TVs.', 'HDMI 2.1 – Get the most out of next-gen gaming with BRAVIA XR HDMI 2.1 enabled TVs featuring 4K/120fps and BRAVIA Game Mode for increased frame rate and reduced input lag.']",4.6,431
"LG 43"" Class 4K UHD Smart LED TV - 43UQ9000PUD",LG Electronics,$329.99,$379.99,"['Real 4K Display w/ 4K UHD Resolution', 'α5 Gen 5 AI Processor 4K: 4K upscaling & AI Sound Pro', 'Active HDR (HDR10, HLG), Dynamic Tone Mapping, FILMMAKER MODE', 'webOS 22 w/ Magic Remote', 'LG Channels: Free access to programming on over 300+ LG Channels', 'Game Optimizer & Dashboard UHD: ALLM, HGiG']",5,1
"LG 65"" Class 4K UHD Smart LED TV - 65UQ9000PUD",LG Electronics,$599.99,$649.99,"['Real 4K Display w/ 4K UHD Resolution', 'Α5 Gen 5 AI Processor 4K: 4K upscaling & AI Sound Pro', 'Active HDR (HDR10, HLG), Dynamic Tone Mapping, FILMMAKER MODE', 'WebOS 22 w/ Magic Remote', 'LG Channels: Free access to programming on over 300+ LG Channels', 'Game Optimizer & Dashboard UHD: ALLM, HGiG']",5,2
"LG 50"" Class 4K UHD Smart LED TV - 50UQ9000PUD",LG Electronics,$429.99,$449.99,"['Dimensions (Overall): 25.6 Inches (H) x 44.1 Inches (W) x 2.2 Inches (D)', 'Weight: 25.8 Pounds', 'Electronics Condition: New', 'Aspect Ratio: 16:9 Aspect Ratio', 'Screen Resolution: 2160p', 'Native screen refresh rate: 60 Hz']",,
"LG 65"" Class 4K UHD Smart Mini LED TV - 65QNED85UQA",LG ElectronicsNew at target¬,"$1,699.99","$1,799.99","['α7 Gen5 AI Processor 4K', 'Quantum Dot NanoCell Color Technology', 'MiniLED Backlighting', 'Precision Dimming', 'FILMMAKER MODE™, Dolby Vision™ IQ and Dolby Atmos®', 'AI Sound Pro (α7 Gen5 AI Processor)']",4.5,8
"Samsung QN55Q80BA 55"" QLED 4K Smart TV (2022)",Samsung,"$1,097.99","$1,199.99","['Direct Full Array Backlighting', 'Quantum Processor with 4K Upscaling', 'Quantum HDR 12X', 'Dolby Atmos and Object Tracking Sound', 'Real Depth Enhancer']",4.8,59
"Samsung QN55Q70AA 55"" QLED 4K UHD Smart TV",Samsung,$897.99,"$1,099.99","['Quantum Processor 4K', 'Motion Xcelerator Turbo+', 'Dual LED Backlight', '100% Color Volume with Quantum Dot']",4.7,1276
Samsung QN55S95BA 55” OLED 4K Smart TV,Samsung,"$1,797.99","$2,199.99","['OLED Technology', 'Neural Quantum Processor with 4K Upscaling', 'Quantum HDR OLED', 'Dolby Atmos and Object Tracking Sound', 'LaserSlim Design']",4.7,152
"LG 75"" Class 4K UHD Smart LED HDR TV - 75UQ9000PUD",LG Electronics,$899.99,$949.99,"['Real 4K Display w/ 4K UHD Resolution', 'Α5 Gen 5 AI Processor 4K: 4K upscaling & AI Sound Pro', 'Active HDR (HDR10, HLG), Dynamic Tone Mapping, FILMMAKER MODE', 'WebOS 22 w/ Magic Remote', 'LG Channels: Free access to programming on over 300+ LG Channels', 'Game Optimizer & Dashboard UHD: ALLM, HGiG']",,
"LG 70"" Class 4K UHD Smart LED HDR TV - 70UQ9000PUD",LG Electronics,$749.99,$799.99,"['Real 4K Display w/ 4K UHD Resolution', 'Α5 Gen 5 AI Processor 4K: 4K upscaling & AI Sound Pro', 'Active HDR (HDR10, HLG), Dynamic Tone Mapping, FILMMAKER MODE', 'WebOS 22 w/ Magic Remote', 'LG Channels: Free access to programming on over 300+ LG Channels', 'Game Optimizer & Dashboard UHD: ALLM, HGiG']",,
"Supersonic SC-2411 24 1080p LED TV, AC/DC Compatible with RV/Boat",Supersonic,$279.99,$329.99,"['1920 x 1080 resolution', '16:9 aspect ratio', '1,000:1 contrast ratio', 'Built-in speakers', 'Built-in dual tuners', '250 nits brightness']",,
"Supersonic SC-2812 12 Portable LCD TV, AC/DC Compatible with RV/Boat",Supersonic,$133.99,$159.99,"['Built-in digital TV tuner, ATSC/NTSC compliant', '1280 x 800 resolution', 'Selectable screen mode: 16:9', 'Peak brightness: 500 nits', 'Contrast ratio: 300:1', 'Viewing angle: 165deg']",,
"Supersonic SC-499 9 TFT Portable Digital LCD TV, AC/DC Compatible with RV/Boat",Supersonic,$127.99,$179.99,"['9 widescreen LCD TV', 'Built-in digital TV tuner', 'Built-in lithium rechargeable battery', 'Built-in speakers', '640 x 234 resolution', 'Inputs: component A/V & SD(TM) Card']",5,1
SANSUI S50P28UA 50-Inch Class 4K UHD Android Smart LED TV,SANSUI,$549.99,$569.99,"['50 in. 4K UHD TV', 'Android(TM) 9.0 TV with built-in applications', 'Built-in Chromecast(TM) and compatibility with Google Assistant(TM)', 'VESA(R) wall mount compatible']",,
Supersonic SC-3216STV 32-Inch 720p Smart HDTV,Supersonic,$258.99,$278.99,"['32 in. DLED HD Smart TV', 'Compatible with 1080p/1080i/720p/576p/576i/480p', 'Resolution: 1366 x 768', 'Aspect ratio: 16:9', 'Built-in ATSC and NTSC system', 'Built-in Wi-Fi(R) 802.11 b/g/n']",,
Supersonic SC-2813 13.3-Inch Portable LED TV with HDMI and FM Radio,Supersonic,$140.99,$199.99,"['13.3 in. widescreen LED TV', 'Built-in digital TV tuner', 'Built-in lithium rechargeable battery', 'Built-in FM radio', 'HDMI(R) input allows user to enjoy high-definition audio and video', 'USB/SD(TM) input compatibility allows user to play video and audio files from an external device']",,
"Supersonic SC-195 7 TFT Portable Digital LCD TV, AC/DC Compatible with RV/Boat",Supersonic,$97.99,$129.99,"['7 in. widescreen LCD TV', 'Built-in digital TV tuner', 'Built-in speakers', '480 x 234 resolution', '16:9 aspect ratio', 'Built-in lithium rechargeable battery']",,
"LG 43"" Class 4K UHD Smart LED TV - 43NANO75",LG Electronics,$449.99,$479.99,"['Real 4K NanoCell Display', 'α5 Gen 5 AI Processor 4K', 'webOS 22 w/ Magic Remote', 'LG Channels: Free access to programming on over 300+ LG Channels', 'Home Cinema Experience: Active HDR, HDR10, Filmmaker Mode', 'Ultimate Gameplay: Game Optimizer, ALLM, HGiG']",3.8,6
"LG 55"" Class 4K UHD Smart Mini LED TV - 55QNED85UQA",LG ElectronicsNew at target¬,"$1,299.99","$1,399.99","['α7 Gen5 AI Processor 4K', 'Quantum Dot NanoCell Color Technology', 'MiniLED Backlighting', 'Precision Dimming', 'FILMMAKER MODE™, Dolby Vision™ IQ and Dolby Atmos®', 'AI Sound Pro (α7 Gen5 AI Processor)']",4.3,4
"Furrion FDUF43CSA 43"" Aurora Full Shade Smart 4K LED Outdoor TV",Furrion,"$1,299.99","$1,549.99","['Compatible with Furrion outdoor soundbars, mounts and covers', 'IP54-Rated Weatherproof Housing', 'Designed for fully shaded outdoor areas, covered patios and gazebos', '4K Ultra-High Definition', 'Anti-glare 400-Nit LED Screen']",,
